Query,Clicks,Impressions,CTR,Position
class 12 chemistry,755,5383,14.03%,1.03
ncert solutions science class 9,755,2109,35.8%,1.65
cbse question paper,754,4316,17.47%,2.08
chapter 9 maths class 9,754,1944,38.79%,1.05
permutation and combination class 11,754,1654,45.59%,1
class 6 math exercise 12.3 solution,752,2209,34.04%,1.14
chapter 13 maths class 9,750,3386,22.15%,2.42
ex 10.1 class 11,750,1767,42.44%,1.21
first flight class 10,749,3839,19.51%,1.45
ncert solutions class 9 hindi,748,1974,37.89%,1.09
class 10 maths chapter 12,748,1883,39.72%,1.13
rd sharma class 8,745,7843,9.5%,1.27
neet sample paper,745,2614,28.5%,1.4
hydrocarbons class 11 notes,744,4521,16.46%,2.05
ncert math class 8,744,2477,30.04%,1.13
ex 15.1 class 11,743,1911,38.88%,1.05
solution of maths class 10,742,2262,32.8%,1.02
ch 3 maths class 10,741,1780,41.63%,1.28
natural resources class 9,740,4837,15.3%,1.84
isi full form,737,40584,1.82%,3.1
sample paper of class 9,736,6689,11%,2.15
importance of fundamental rights,736,3212,22.91%,1.02
math class 9,735,4907,14.98%,1.32
ch 13 maths class 11,734,1469,49.97%,1.01
linear inequalities class 11,733,1567,46.78%,1
class 10th maths,731,3904,18.72%,1.11
ncert class 11 physics solutions,731,1856,39.39%,1.47
mean median mode formula,730,11027,6.62%,5.57
area related to circle class 10,730,1930,37.82%,1.05
ncert solutions for class 7 english,729,9427,7.73%,4.17
maths solutions class 11,729,1657,44%,1.07
surface charge density,727,5300,13.72%,2.07
english class 12,727,3922,18.54%,1.99
icse class 9 english language practice papers with answers,726,3000,24.2%,1.96
ncert solutions for class 8 social science,725,8032,9.03%,3.33
why do we need rights in a democracy,725,4256,17.03%,2.79
ncert solutions for class 12 chemistry,723,3748,19.29%,2.53
cbse previous year question paper,723,2371,30.49%,1.57
alimentary canal,722,45577,1.58%,7.89
ncert chemistry class 12 solutions,721,2424,29.74%,1.5
science class 8,720,5774,12.47%,1.13
13.3 class 9,720,1673,43.04%,1
ncert chemistry class 12,717,4329,16.56%,1.6
chapter 14 maths class 10,717,1854,38.67%,1
jee main 2019 question paper,715,2518,28.4%,1.08
ch 14 maths class 10,713,1576,45.24%,1
class 8 english,711,6373,11.16%,1.64
mathematics formula,710,10831,6.56%,4.41
speech on technology,710,2976,23.86%,2.71
class 9 maths ncert solution,708,2087,33.92%,1.44
ch 6 maths class 10,708,1977,35.81%,1.02
complex numbers class 11,708,1618,43.76%,1.04
normality formula,705,17089,4.13%,3.77
ncert math class 10,704,2240,31.43%,1.01
circle class 9,704,2020,34.85%,1.03
ncert solution class 8 science,702,3302,21.26%,1.3
previous year question papers class 10,702,2074,33.85%,1
vedantu .com,700,1325,52.83%,1
economics class 12,697,3929,17.74%,1.09
maths class 9 solutions,697,1861,37.45%,1.15
class 9 maths sample paper,695,3572,19.46%,1.17
ncert solutions for class 8 maths chapter 14,694,3805,18.24%,1.87
conic sections class 11 ncert solutions,694,1569,44.23%,1
chapter 8 maths class 9,694,1550,44.77%,1.04
rs aggarwal class 6 solution,692,2274,30.43%,1.06
2020 jee mains question paper,692,1943,35.62%,1.9
sample paper of science class 9,691,2140,32.29%,1.11
class 8 hindi,690,4502,15.33%,1.79
ncert chemistry class 12 pdf,690,3567,19.34%,2.09
ncert solutions for class 7 english an alien hand,690,1794,38.46%,1.01
ex 7.2 class 9,687,1261,54.48%,1.08
chemistry notes,686,5471,12.54%,3.41
ilate rule,686,4430,15.49%,1.06
ncert exemplar class 9 science,685,1959,34.97%,1.06
class 9 science sample paper 2020,684,2523,27.11%,2.52
beehive class 9 solutions,684,1984,34.48%,1.11
ncert class 7 maths solution,682,1793,38.04%,1.02
quadratic equation class 10,681,2395,28.43%,1.07
ncert science class 6,679,4270,15.9%,1.26
sound class 9,679,4126,16.46%,1.74
11.2 class 9,679,1347,50.41%,1.04
rs aggarwal class 7 solution,678,2699,25.12%,1.15
cbse class 10 maths question paper 2019 pdf,678,1891,35.85%,1.04
median formula,674,46358,1.45%,7.63
rank predictor,672,8700,7.72%,7.61
ex 13.8 class 9,671,1481,45.31%,1
ncert class 11 maths solution,671,1461,45.93%,1.03
physics class 12 notes,670,2638,25.4%,1.07
ex 13.2 class 11,670,1852,36.18%,1.37
exercise 13.6 class 9,670,1671,40.1%,1
previous year paper,669,4407,15.18%,1.03
sequence and series class 11 ncert solutions,668,1513,44.15%,1
moments class 9 solutions,668,1339,49.89%,1
vedantu class 11,667,1283,51.99%,1
rd sharma solutions class 11,666,2067,32.22%,1.09
ch 9 maths class 9,666,1393,47.81%,1.06
9th class math,665,4459,14.91%,1.16
gravitation class 11 notes,665,1873,35.5%,1.12
chapter 6 class 10 maths,665,1684,39.49%,1.07
cbse previous year question papers class 10 maths with solutions,664,1835,36.19%,1.03
class 9 ncert solutions maths,664,1642,40.44%,1.17
probability formula,663,22871,2.9%,7.32
ncert solutions for class 10 english footprints without feet,662,2189,30.24%,1.05
chemistry class 11 notes,661,3271,20.21%,1.38
practical geometry class 7,661,2290,28.86%,1.62
ch 4 maths class 10,661,1475,44.81%,1
rd sharma class 8 solutions,660,3745,17.62%,1.91
ncert class 10 math solution,658,1905,34.54%,1
ncert class 9 science solution,658,1863,35.32%,1.09
chapter 13 class 10 maths,658,1824,36.07%,1
jee main 2020 rank predictor,657,4012,16.38%,5.29
ncert solution class 12 maths,657,2267,28.98%,1.09
physics ncert solutions class 12,657,2066,31.8%,1.32
neet question paper 2018,657,1927,34.09%,1.02
ex 12.2 class 10,655,5954,11%,2
sample paper for class 9 maths,655,3705,17.68%,2.37
ncert class 12 chemistry solutions,655,2419,27.08%,2.08
ex 13.4 class 9,655,1420,46.13%,1
class 8th maths,654,2996,21.83%,1.03
ncert science solution class 9,654,1650,39.64%,1.18
sst sample paper class 9,653,2116,30.86%,1.81
ex 3.3 class 11,653,1704,38.32%,1.39
class 10 maths chapter 3,652,1668,39.09%,1.39
class 11 ncert solutions maths,651,1380,47.17%,1
ch 14 maths class 9,651,1321,49.28%,1.02
class 7 maths solutions,649,2336,27.78%,1.01
chapter 10 class 9 maths,649,1300,49.92%,1.07
displacement formula,648,25090,2.58%,5.23
probability class 10,648,3070,21.11%,1.29
wavelength of light,647,8024,8.06%,1.08
physics class 11 notes,647,2705,23.92%,1.43
ch 10 maths class 11,647,1397,46.31%,1.08
class 10 science solution,646,2576,25.08%,1.06
2019 neet paper,645,1021,63.17%,1.03
maths ncert class 11 solutions,644,1523,42.28%,1.05
exercise 15.1 class 11,644,1466,43.93%,1.08
advantages of friction,643,5382,11.95%,3.56
ncert solutions class 7 science,643,4695,13.7%,2.63
class 11 english ncert solutions,640,2327,27.5%,1.98
ncert math solution class 7,640,2026,31.59%,1.01
ncert maths solutions for class 10,639,1729,36.96%,1.04
class 9 maths chapter 8,639,1589,40.21%,1.26
organic chemistry class 11 ncert solutions,639,1416,45.13%,1.01
article on environment,638,2201,28.99%,2.77
ncert solutions physics class 11,638,1447,44.09%,1
class 10th maths ncert solutions,637,1942,32.8%,1.05
ex 13.5 class 9,637,1490,42.75%,1
chapter 14 maths class 9,636,1325,48%,1.03
construction class 10,635,5566,11.41%,2.9
class 8 science solution,634,2032,31.2%,1.12
ncert solutions of class 6 maths,634,1677,37.81%,1.02
ch 8 maths class 9,634,1248,50.8%,1.04
vedantu master class,634,938,67.59%,1
class 10 math,633,3562,17.77%,1.19
class 6 maths solutions,633,1729,36.61%,1.05
essay on water conservation,631,2509,25.15%,2.25
class 10 maths ncert solution,631,1983,31.82%,1.04
hsc english question paper 2018 solved pdf,631,1802,35.02%,1.03
class 8 science notes,630,3250,19.38%,1.02
equilibrium class 11,629,2280,27.59%,2.01
ncert solutions science class 8,629,1750,35.94%,1.22
ph full form,628,27954,2.25%,2.63
class 9 ncert solutions,628,2044,30.72%,1.68
ncert solution class 7 maths,627,1952,32.12%,1.01
cbse class 10 previous year question papers,627,1745,35.93%,1.02
area of rhombus,626,58470,1.07%,6.18
ncert exemplar solutions,625,2849,21.94%,1.37
ncert solutions for class 9th maths,625,2465,25.35%,1.85
ncert solution for class 6 maths,624,2166,28.81%,1.03
ex 13.7 class 9,624,1471,42.42%,1
exercise 8.2 class 9,624,1236,50.49%,1.08
flamingo class 12,623,2558,24.35%,1.65
probability class 11 ncert solutions,623,1403,44.4%,1
demerits of democracy,619,2006,30.86%,2.02
chapter 5 maths class 10,619,1882,32.89%,1.02
jee mains 2019 question paper,617,1921,32.12%,1.03
work and energy class 9,616,3825,16.1%,1.46
ncert solutions maths class 7,616,1569,39.26%,1.02
the accidental tourist class 9,615,4511,13.63%,3.23
8.1 class 9,615,1745,35.24%,1.6
surface areas and volumes class 9,615,1477,41.64%,1.01
neet mock test,612,3960,15.45%,2.17
ncert class 11 chemistry,612,2618,23.38%,1.43
sample paper for class 9,611,5645,10.82%,2.52
13.8 class 9,611,1520,40.2%,1.02
ex 12.3 class 10,610,6013,10.14%,2.32
9.2 class 9,610,1260,48.41%,1.05
hindi ncert class 8,609,1492,40.82%,1.27
ncert solutions for class 10 maths chapter 5,607,2154,28.18%,1.01
ncert solutions class 8,607,2118,28.66%,1.32
ncert solutions for class 9 sst,607,1947,31.18%,1.27
ex 11.1 class 9,607,1077,56.36%,1
ncert exemplar class 10,606,3591,16.88%,1.98
chapter 11 maths class 8,605,1704,35.5%,1.41
rs aggarwal class 8 exercise 20a,604,2047,29.51%,1.5
hc verma solutions pdf,604,1215,49.71%,1.06
ex 7.4 class 9,604,1055,57.25%,1
atoms and molecules class 9,603,3427,17.6%,2.21
ncert science solution class 8,603,1877,32.13%,1.19
previous year question paper of class 10 cbse,603,1375,43.85%,1.03
trigonometry formula,602,62373,0.97%,7.86
who is education minister of india,601,4324,13.9%,2.2
cbse class 12 previous year question papers with solutions pdf,601,2293,26.21%,1.3
ncert solutions for class 11 biology,601,2221,27.06%,1.92
jee main 2020 january question paper,601,1840,32.66%,2.52
vistas class 12,601,1692,35.52%,1.02
straight line class 11,600,1463,41.01%,1.51
class 12 chemistry notes,599,2729,21.95%,1.03
ex 6.1 class 9,599,1725,34.72%,2.09
exercise 11.2 class 9,599,1369,43.75%,1.03
chemistry in everyday life notes,598,2042,29.29%,1.62
linear equations in two variables class 10,598,1984,30.14%,1.15
probability class 9,597,2249,26.55%,1.05
cbse class 10 maths,597,2217,26.93%,1.04
ncert book,596,30681,1.94%,6
maths solutions class 10,596,2197,27.13%,1.03
surface area and volume class 10 ncert solutions,596,1586,37.58%,1.01
ex 10.2 class 10,595,5208,11.42%,2.03
ex 6.5 class 10,594,4855,12.23%,2.02
chapter 4 maths class 10,594,1519,39.1%,1.01
class 11 biology ncert solutions,593,2019,29.37%,1.17
previous year question papers,592,5468,10.83%,1.38
ncert exemplar class 11 maths,592,1608,36.82%,1.02
algebra formula,591,26785,2.21%,5.73
class 7 maths chapter 11,591,3378,17.5%,1.92
class 7th maths,591,3328,17.76%,1.02
chapter 13 maths class 11,591,1274,46.39%,1.09
factorisation class 8,590,2783,21.2%,1.3
cbse sample paper class 10,589,12258,4.81%,5.36
pmi class 11,589,1173,50.21%,1.02
cbse sample paper 2020 class 10,588,24877,2.36%,7.21
ex 8.4 class 10,588,6289,9.35%,2.35
ncert exemplar class 9 maths solutions,588,1438,40.89%,1.71
online tutoring jobs,587,8988,6.53%,7.98
ncert solutions for class 9 hindi kritika,587,2176,26.98%,1.05
maths solution class 8,587,2040,28.77%,1.03
sample paper class 8 maths 2019,586,2530,23.16%,1.62
ncert maths class 11 pdf,585,1996,29.31%,1.85
a pact with the sun,585,1762,33.2%,1.01
sample papers for class 9 science chapter wise,582,1469,39.62%,1
cbse sample paper class 10 2020,581,21780,2.67%,7.96
class 10 maths chapter 8,580,1368,42.4%,1.09
rs aggarwal class 10 solutions,579,3133,18.48%,1.97
neet sample paper pdf,579,1345,43.05%,1.77
class 11 biology notes,576,3001,19.19%,1.92
ncert solutions for class 8 history,576,2375,24.25%,1.52
cbse previous year question papers class 10 with solutions pdf,576,1935,29.77%,1
chemistry ncert solutions class 12,576,1894,30.41%,1.35
13.5 class 9,576,1406,40.97%,1.04
class 9 english moments,575,1879,30.6%,1
jee main rank predictor 2020,574,4161,13.79%,5.42
exponents and powers class 7,572,2565,22.3%,2.27
quadrilateral class 9,572,1483,38.57%,1.03
class 9 maths chapter 14,572,1455,39.31%,1.04
exercise 11.1 class 11,572,1258,45.47%,1.02
cbse board exam 2019 maths question paper class 10,571,1530,37.32%,1.06
physics class 12 ncert solutions,570,1864,30.58%,1.15
equilibrium class 11 notes,570,1826,31.22%,1.09
maths solution class 11,570,1482,38.46%,1.05
ncert solutions class 9th maths,569,1456,39.08%,1.18
r s aggarwal class 8,567,2111,26.86%,1.2
class 11th maths ncert solutions,567,1416,40.04%,1.05
class 9 science sample paper 2018,566,1877,30.15%,1.09
sample paper class 9,565,5275,10.71%,1.32
what are the advantages of sexual reproduction over asexual reproduction,565,3013,18.75%,2.93
ncert solution class 10,565,2262,24.98%,1.03
chapter 7 maths class 10,565,1517,37.24%,1.08
ncert solutions for class 12 maths chapter 7,564,3449,16.35%,1.08
difference between acute and chronic disease,564,2543,22.18%,2.33
neet 2019 question paper pdf download,564,1359,41.5%,1.04
ncert solutions for class 9 maths chapter 2,563,3004,18.74%,1.58
ch 10 maths class 10,562,1532,36.68%,1.13
maths ncert class 7,561,1385,40.51%,1.01
ncert maths solution,560,6090,9.2%,2.32
13.4 class 9,560,1354,41.36%,1
ncert solutions class 11,559,1569,35.63%,1.04
ncert class 8 english,558,2705,20.63%,1.14
class 8,557,20866,2.67%,2.3
class 8 maths solution,557,2365,23.55%,1.02
number system class 9,557,1440,38.68%,1.19
an alien hand,556,2243,24.79%,1.77
icse class 9 maths question papers with answers,556,1842,30.18%,1.03
ncert solutions of class 12 maths,556,1804,30.82%,1.05
ncert class 9 english solutions,556,1731,32.12%,1.68
exercise 13.8 class 9,555,1385,40.07%,1.01
convex lens,554,44340,1.25%,3.61
ncert class 8 hindi,554,2497,22.19%,1.7
sample paper of class 9 maths,554,2385,23.23%,2.17
ncert solution class 9,554,1890,29.31%,1.01
math ncert solution class 7,554,1570,35.29%,1
footprints without feet class 10 solutions,553,1581,34.98%,1.01
neet question paper pdf,553,1199,46.12%,1.11
class 10 english,551,7591,7.26%,1.46
redox reaction class 11 notes,551,2579,21.36%,1.32
ncert exemplar class 12 maths,551,2409,22.87%,1.1
class 10 maths chapter 6,551,1294,42.58%,1.01
sin cos table,550,15858,3.47%,1.36
sample paper of science for class 9 with solution,550,1861,29.55%,1.04
chapter 10 maths class 10,550,1683,32.68%,1.12
class 8 science chapter 18 question answer,550,1300,42.31%,1.14
vedantu maths class 10,550,832,66.11%,1
last year question paper,549,3543,15.5%,1.01
class 9 english sample paper,549,2114,25.97%,1.87
full form of ph,548,9480,5.78%,1.92
maths class 8 ncert solutions,548,1402,39.09%,1.01
vedantu class 9 science,548,804,68.16%,1
ex 6.3 class 10,547,5139,10.64%,2.1
class 9 ncert math solution,547,1708,32.03%,1.05
ratio and proportion class 6,546,3252,16.79%,1.19
physics class 12 syllabus,545,5733,9.51%,2.97
chapter 8 maths class 10,545,1552,35.12%,1.01
hsc chemistry question paper 2018 pdf,545,1409,38.68%,1.02
chapter 9 class 10 maths,545,1219,44.71%,1
class 9 maths 14.3 solutions,544,1528,35.6%,1.02
jee mains 2019 paper,544,1353,40.21%,1.05
environmental pollution essay in english 150 words,543,4225,12.85%,2.82
9th class maths solution,543,1776,30.57%,1.24
math ncert solution class 10,542,1780,30.45%,1.05
vedantu class 8,542,920,58.91%,1
class 12 ncert maths solutions,541,1599,33.83%,1.11
ncert solutions class 8 english,540,3159,17.09%,1.44
english class 9,540,2847,18.97%,1.27
10th maths solution,540,2315,23.33%,1.12
maths ncert class 12 solutions,540,1531,35.27%,1.15
exercise 14.4 class 9,540,1105,48.87%,1
exercise 13.3 class 9,539,1262,42.71%,1
vedantu ncert solutions,539,767,70.27%,1
sample papers for class 9 maths,537,2981,18.01%,1.64
surface area and volume class 9 ncert solutions,536,1448,37.02%,1.64
icse 2019 maths question paper solved,535,1318,40.59%,1.11
maths class 12,533,2969,17.95%,1.04
chapter 6 maths class 10,533,1782,29.91%,1.04
ncert solutions of science class 8,533,1716,31.06%,1.35
ncert geography class 6,532,1882,28.27%,1.01
class 10 science important questions,532,1592,33.42%,1.01
ex 9.3 class 11,530,1404,37.75%,1.23
maths formulas for class 10,529,2836,18.65%,1.08
states of matter class 11 notes,529,1895,27.92%,1.6
the beggar class 9 solutions,528,1367,38.62%,1.29
ex 14.2 class 10,528,1165,45.32%,1.03
sst class 9,527,3603,14.63%,1.01
chapter 6 maths class 9,527,1366,38.58%,1.13
vedantu class 8 maths,527,822,64.11%,1
vedantu maths class 9,527,681,77.39%,1
ncert solution of maths class 7,526,1646,31.96%,1.01
math ncert solution class 11,526,1207,43.58%,1.01
class 8 science chapter 16,525,2112,24.86%,1.09
jee main 2020 question papers,525,1823,28.8%,2.7
accountancy class 11,524,3562,14.71%,1.49
ncert solutions chemistry class 12,524,2130,24.6%,2.05
login to vedantu,524,598,87.63%,1
cut off jee mains 2020,523,18096,2.89%,6.91
class 10 hindi,523,3111,16.81%,1.76
polynomials class 9,523,1986,26.33%,1.97
exercise 9.2 class 11,523,1229,42.55%,1.07
area of equilateral triangle,522,77382,0.67%,6.45
all formulas of maths class 10,522,1434,36.4%,1.31
ncert solutions for class 8 english it so happened,521,2093,24.89%,1.42
class 12 english,520,3498,14.87%,1.94
7th class maths book solutions,520,3276,15.87%,1.02
ncert solutions for class 9 maths chapter 12,520,1875,27.73%,1.22
maths class 10 solutions,520,1750,29.71%,1.3
mathematical reasoning class 11,520,1303,39.91%,1.11
paragraph on corruption,520,1243,41.83%,1.05
ncert sol class 11 maths,520,1071,48.55%,1
ch 11 maths class 9,519,965,53.78%,1
13.7 class 9,518,1448,35.77%,1.18
all formulas of maths class 10 ncert,518,1282,40.41%,1.15
class 11 maths sample paper,518,1167,44.39%,1.03
ex 4.3 class 9,518,1004,51.59%,1.2
class 12 ncert maths solution,517,1784,28.98%,1.08
ncert solutions of maths class 9,517,1192,43.37%,1.06
14.4 class 9,517,1003,51.55%,1
jee main 2020,516,62110,0.83%,7.31
class 10,516,36058,1.43%,2.8
science class 10 notes,516,4229,12.2%,1.13
solution of maths class 9,516,1587,32.51%,1.18
bst class 11,516,1400,36.86%,1
ex 4.1 class 11,516,1236,41.75%,1.38
class 10 science board question paper 2018,515,2695,19.11%,1.43
ncert solutions for class 10 maths chapter 1,515,1654,31.14%,1.01
endemic species,514,24055,2.14%,4.13
ncert science class 9 solutions,514,2447,21.01%,2.45
maths solutions class 9,514,1642,31.3%,1.02
class 7 ncert maths,514,1431,35.92%,1
ap class 10,514,1251,41.09%,1
vedantu live class,514,829,62%,1
rank predictor jee main 2020,513,3438,14.92%,5.13
chemical kinetics notes,513,2377,21.58%,1.21
ncert math solution class 11,513,1124,45.64%,1
chapter 7 class 10 maths,513,1112,46.13%,1.02
9th class maths,512,5119,10%,1.68
ex 9.1 class 10,511,5080,10.06%,2.15
ncert 10 maths,511,2014,25.37%,1.22
cbse class 10 science question paper 2018 pdf,511,1764,28.97%,1
class 10 ncert solutions maths,511,1610,31.74%,1.06
vedantu. com,511,1024,49.9%,1
advantages of sexual reproduction over asexual reproduction,510,1921,26.55%,1.68
ncert solutions for class 7th maths,510,1772,28.78%,1.02
10th math solution,510,1659,30.74%,1.43
class 6 ncert maths,510,1635,31.19%,1.01
ch 7 maths class 10,510,1537,33.18%,1.9
ex 10.2 class 11,510,1402,36.38%,1.34
neet paper,509,2169,23.47%,1.47
ncert maths solutions for class 8,509,1656,30.74%,1.04
class 9,508,14725,3.45%,1.93
class 12 physics syllabus,508,8875,5.72%,4.3
structure of nucleus,508,6572,7.73%,1.52
exercise 8.1 class 10,507,1457,34.8%,1.49
ex13.1 class 10,507,939,53.99%,1.1
ncert exemplar class 10 maths pdf free download,506,1520,33.29%,1.12
honeydew class 8,506,1497,33.8%,1.13
ch 8 maths class 10,506,1390,36.4%,1.15
cbse class 10 sample paper,505,8415,6%,4.84
10th class math solution,505,1928,26.19%,1.3
ch 11 maths class 11,504,1064,47.37%,1.04
ncert solutions class 9 english moments,503,1232,40.83%,1
math class 8,502,3794,13.23%,1.26
class 9 math,502,2584,19.43%,1.19
ncert solutions for class 9 maths chapter 7,501,2275,22.02%,1.75
ncert solution class 9 science,501,1743,28.74%,1.26
chapter 9 class 9 maths,501,1446,34.65%,1.05
statistics class 11 ncert solutions,501,1273,39.36%,1.33
cbse class 8 maths,500,2795,17.89%,1.28
ch 5 maths class 10,500,1525,32.79%,1.02
jee mains 2020 cut off,499,15225,3.28%,6.94
difference between heat and temperature,499,12589,3.96%,6.52
english class 10,499,6283,7.94%,1.35
class 10 science board question paper 2019,499,2620,19.05%,2.01
ncert solutions for class 10th maths,499,1800,27.72%,1.01
ncert solutions for class 10 maths chapter 12,499,1412,35.34%,1
10.3 class 9,499,1020,48.92%,1
gravitation class 11,498,2946,16.9%,1.37
ncert class 7 maths book,498,1995,24.96%,1.11
english ncert class 9,498,1190,41.85%,1.03
chapter 10 maths class 11,498,1158,43.01%,1.16
cutoff of jee mains 2020,497,19389,2.56%,7.18
ex 13.3 class 10,497,4824,10.3%,2.14
statistics class 11 solutions,497,1122,44.3%,1.02
sample paper class 10 maths,496,9849,5.04%,3.14
ncert solutions for class 6 english,495,5148,9.62%,3.12
previous year question paper class 12,495,2464,20.09%,1.24
ncert economics class 9,494,1511,32.69%,1
maths class 11 solutions,494,1153,42.84%,1
uses of graphite,493,3720,13.25%,1.11
ncert solutions for class 10 maths chapter 4,492,1904,25.84%,1.03
exercise 13.5 class 9,492,1262,38.99%,1.13
